"Timestamp","¿Vas a asistir a la reunión preSAN para estudiantes de grado/doctorado/posdoctorado?","Edad","Seleccioná la opción que mejor te represente.","Seleccioná todas las opciones que correspondan","Ciudad, Provincia","Posición","¿Publicaste alguna búsqueda de estudiante para realizar tesina de licenciatura, candidate a beca doctoral o posdoctoral durante 2020/2021/2022?","En relación a dichas búsquedas durante 2020/2021/2022, ¿cuántas entrevistas concretaste?","En relación a dichas búsquedas y entrevistas, ¿cuántas personas finalmente tomaste para dirigir?","Durante 2020, 2021, 2022, ¿te escribieron estudiantes interesades en tu trabajo/laboratorio que no acudieron específicamente por un llamado publicado?","Contanos tus impresiones sobre el proceso de búsqueda de estudiantes durante el tiempo que llevás dirigiendo... ¿Cambió el número de personas que te contactan? ¿Te cuesta más o menos difundir tus búsquedas? ¿Sentís más o menos competencia con otras posibilidades laborales? ¿Es un asunto que te preocupa o no por ahora?","Carrera, Universidad","Actualmente, ¿estás trabajando en un laboratorio en el área de las neurociencias?","¿Hace cuánto tiempo estás trabajando en un laboratorio en el área de las neurociencias?","¿Ingresaste al laboratorio para realizar una tesis de licenciatura o trabajo final de grado?","¿Cuál es tu intención de realizar un doctorado  en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","Doctorado, Universidad","¿Qué tipo de beca tenés?","¿En qué estadío de tu doctorado estás?","¿Cuál es tu intención de realizar un posdoctorado en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Qué tipo de beca tenés?","¿En qué estadío de tu posdoctorado estás?","¿Cuál es tu intención de ingresar a carrera científica en Argentina en el área de las neurociencias?  (independientemente de que hagas o no un segundo posdoctorado)","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Con quién/quiénes conversas sobre tu futuro profesional?","¿Qué pensamientos/emociones te despierta tomar este tipo de decisiones?"
"2022/08/05 10:35:21 AM GMT-3","Probablemente sí","38","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Otro tipo de beca no CONICET","60-100%","Quiero ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Continuaría mi carrera científica en Argentina, en la misma ciudad en la que resido actualmente.","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Incertidumbre, ansiedad, temor"
"2022/08/05 10:45:10 AM GMT-3","Probablemente sí","41","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","Sí","Aún no dirijo.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Incertidumbre"
"2022/08/07 7:31:21 PM GMT-3","Probablemente sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Hurligham, Buenos Aires","Soy estudiante de grado","","","","",""," Licenciatura en Ciencias Biológicas, UBA ","Sí, trabajo ad honorem","Menos de 1 año","Sí, de lo contrario no hubiera ingresado a ningún laboratorio.","Quiero hacer un doctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un doctorado en el área de las neurociencias.","Haría un doctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","Mucha incerteza sobre el futuro, probablemente por falta de información. También mucha alegria por hacer algo que me gusta. Miedo por no saber manejar las fustraciones que vienen aparejado con este tipo de actividades."
"2022/08/08 8:37:57 AM GMT-3","No, soy estudiante pero no puedo asistir.","28","Soy varón cis","Tengo una dificultad o limitación sensorial o comunicacional","Córdoba, Córdoba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Psicología, UNC","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","Ansiedad, incertidumbre, pensando en propuestas de posdoctorado que puedan desarrollarse en Argentina"
"2022/08/08 9:38:56 AM GMT-3","Sí","29","Soy varón cis","Pertenezco a la comunidad LGBTIQ+","Vicente López, Provincia de Buenos Aires","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","5to año, no tengo opción de pedir prórroga // tengo opción de pedir prórroga pero no la voy a tomar","No quiero hacer un posdoctorado  en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Análisis de datos / programación;Tareas científicas en industrias","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","ansiedad"
"2022/08/08 3:23:35 PM GMT-3","Probablemente sí","29","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Córdoba, Córdoba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencia, UNC (Córdoba)","Beca CONICET","4to año","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Incertidumbre, felicidad, miedo, orgullo"
"2022/08/09 1:24:03 AM GMT-3","Probablemente sí","39","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Tengo pocas intenciones de hacer un posdoctorado en el área de las neurociencias.","Considero la posibilidad de hacer un posdoctorado en un área distinta.;No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Tareas científicas en industrias;Dedicarle tiempo a mi familia","","","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.;Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Desinterés y desazón "
"2022/08/12 2:45:03 PM GMT-3","Probablemente sí","34","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA, BA ","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","0-30%","Quiero ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de ingresar a carrera científica en el área de las neurociencias.","Quiero seguir mi carrera científica en el exterior pero aún no tengo ofertas seguras.","Amigues/familiares  que pertenecen al ámbito científico.","Incertidumbre y cansancio "
"2022/08/16 3:51:06 PM GMT-3","Sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Ansiedad y entusiasmo en similares proporciones :/"
"2022/08/16 3:56:21 PM GMT-3","Probablemente sí","33","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+;Tengo una dificultad o limitación sensorial o comunicacional","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","4to año","No quiero hacer un posdoctorado  en el área de las neurociencias.","Considero la posibilidad de hacer un posdoctorado en un área distinta.","Realizar un posdoctorado en un área distinta;Docencia;Tareas científicas en otros organismos públicos (Ej., BNDG)","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Terapeutas","Estrés, Ansiedad, Confusión, Presión"
"2022/08/16 6:36:43 PM GMT-3","No, soy estudiante pero no puedo asistir.","25","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA ","Soy estudiante de grado","","","","","","Lic Cs Biológicas, UBA","Sí, trabajo ad honorem","No estoy trabajando en un laboratorio en el área de las neurociencias.","Sí, pero igualmente hubiera ingresado a algún laboratorio por interés personal.","Tengo algunas intenciones de hacer un doctorado en el área de las neurociencias.","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Ansiedad, preocupación por el futuro"
"2022/08/19 11:16:18 AM GMT-3","Probablemente sí","27","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencias, UNC","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","me tranquiliza hablarlo"
"2022/08/19 1:16:54 PM GMT-3","Sí","30","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca AGENCIA","0-30%","Tengo pocas intenciones de ingresar a carrera científica en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.","Tareas científicas en otro país","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me genera mucho estrés y dolor porque son decisiones muy difíciles. "
"2022/08/27 2:03:41 AM GMT-3","Probablemente sí","32","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","San Luis, San Luis ","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","No tengo beca","0-30%","Quiero ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de ingresar a carrera científica en el área de las neurociencias.","Quiero seguir mi carrera científica en el exterior pero aún no tengo ofertas seguras.","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad y Angustia "
"2022/08/27 7:59:12 AM GMT-3","Sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA, Bs As","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biologia, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me entusiasma mucho pensar sobre el futuro y a la vez me da miedo. Sin embargo, se que cualquier plan que haga va a estar sujeto a cambios e imprevistos que no puedo controlar. Entender eso me ayuda a estar tranquila."
"2022/08/27 12:35:18 PM GMT-3","Probablemente sí","27","Soy mujer cis","Me reconozco afrodescendiente o tengo un antepasado negro o africano","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Doctorado en Ciencias Biomédicas, UCA","Beca AGENCIA","Más o menos en la mitad (tercer año)","No quiero hacer un posdoctorado  en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Docencia;Tareas científicas en centros relacionados a la salud (Ej., análisis clínicos, genética, fertilidad)","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","Tristeza, porque sé que no estoy sola, he hablado con otros becarios y la sensación es así de bastantes otros becarios. Creo que el sistema está mal nacional e internacionalmente, y al final del día más que la sensación hermosa de un logro tan importante, te quedan todas las emociones malas, frustraciones y bajones del proceso que no se termina disfrutando. "
"2022/08/29 10:31:50 AM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","25","Soy varón cis","Pertenezco a la comunidad LGBTIQ+","Tucumán","Soy investigador/a/e asistente o adjunto","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","Sí","Estoy trabajando en industria, no estoy en academia, por el momento.
Hice transición de neuro comportamental/computacional a data science.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Incertidumbre
Esperanza
Progreso
Cambio
Difícil
Emigrar"
"2022/08/29 11:11:08 AM GMT-3","No, soy estudiante pero no puedo asistir.","26","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Córdoba, Córdoba","Soy estudiante de grado","","","","","","Licenciatura en Psicología, UNC","Sí, y percibo alguna remuneración económica (Ej., beca CIN)","Entre 3 y 4 años","No, ingresé únicamente por interés personal.","Quiero hacer un doctorado en el área de las neurociencias.","","","No","Quiero hacer un doctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Ansiedad, miedo, dudas, sentir que no entiendo dónde estoy ni adónde voy"
"2022/08/29 12:15:38 PM GMT-3","No, soy estudiante pero no puedo asistir.","20","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de grado","","","","","","Lic en psicología, UBA & Lic en Ciencia de Datos, UBA ","No trabajo en ningún laboratorio","No estoy trabajando en un laboratorio en el área de las neurociencias.","No estoy trabajando en un laboratorio en el área de las neurociencias.","Quiero hacer un doctorado en el área de las neurociencias.","","","No","Quiero hacer un doctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.;Amigues/familiares que no pertenecen al ámbito científico.","Es muy angustiante porque no sé por dónde comenzar."
"2022/08/29 1:21:44 PM GMT-3","Sí","22","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Buenos Aires","Soy estudiante de grado","","","","","","Licenciatura en Ciencias Biologicas, Univesidad Favaloro","Sí, trabajo ad honorem","Menos de 1 año","Sí, pero igualmente hubiera ingresado a algún laboratorio por interés personal.","Quiero hacer un doctorado en el área de las neurociencias.","","","No","Haría un doctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Nervios, incertidumbre"
"2022/08/29 1:21:57 PM GMT-3","Sí","30","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Doctorado de ciencias de la salud, Medicina, UBA","Beca CONICET","Comenzando (primer o segundo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Incertidumbre, angustia, ansiedad, preocupación, expectativa, deseos"
"2022/08/29 1:27:22 PM GMT-3","Probablemente sí","31","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencias, UNC","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","Por el momento estoy cómodo y contento con el proceso actual, y falta un buen tiempo hasta tener que cambiar."
"2022/08/30 5:58:05 PM GMT-3","Sí","29","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Córdoba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencias, UNC","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Ansiedad"
"2022/09/01 4:15:53 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","61","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e principal o superior","Sí","Entre 2 y 4 entrevistas","1","No","Todas las respuestas son sí. Menos contactos, más dificil llegar a estudiantes, me preocupa muchísimo","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me preocupa muchísimo el devenir del sistema científico nacional, que viene de la mano con la caída abrupta en las vocaciones científicas en los jóvenes"
"2022/09/01 5:20:44 PM GMT-3","Probablemente sí","26","Ninguna de estas opciones me representa","No corresponde ninguna de las opciones anteriores","CABA ","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca AGENCIA","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Las ganas de aprender cosas nuevas y hacer algo con eso"
"2022/09/02 9:55:39 AM GMT-3","Sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","No","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad, nervios, entusiasmo"
"2022/09/02 11:47:03 AM GMT-3","Sí","25","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Caba ","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología molecular y biotecnología, unsam ","Beca AGENCIA","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","Entusiasmo, ansiedad, intriga "
"2022/09/03 4:04:02 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","54","Soy varón cis","No corresponde ninguna de las opciones anteriores","Pcia. Buenos Aires","Soy investigador/a/e independiente","Sí","Entre 2 y 4 entrevistas","1","Sí","Me cuesta mucho difundir búsquedas de tesinistas y becarios, y conseguir candidatos. Algunos se interesan en tener entrevistas, pero luego no eligen mi laboratorio. Me preocupa no poder contar con candidatos para trabajar en los proyectos de mi laboratorio. Varios candidatos eligen trabajar en la industria. ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","No entiendo esta pregunta. Los resultados que tengo en mis proyectos, que son interesantes, me llevan a entender que una vez que publique el siguiente artículo original tenga más posibilidades de reclutar estudiantes y conseguir subsidios, aunque el contexto sea difícil para nosotros"
"2022/09/03 5:38:46 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","42","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","Ninguna","Ninguna, no se presentó nadie.","No","Creo que hay menos estudiantes interesados en hacer una carrera científica. Me preocupa porque la continuidad de las carreras científicas depende del ingreso al sistema de nuevos miembros pero creo que es parte de la realidad del momento. Me parece que es difícil atribuir una sola causa: hay mejores condiciones laborales (remuneración y posibilidad de cambiar de trabajo) en el sector privado, también hay más regulación en cuanto a recursos humanos (el maltrato está más limitado, cosa que en el sist. científico no sucede), etc. Cuando yo era estudiante, no existía la forma de hacer una carrera laboral por fuera de la academia entonces tenías que bancar a como dé lugar.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me resulta difícil porque creo que no tenemos formación en ""soft skills"" para dirigir gente. Mi esposo trabaja en una empresa y me comenta las prácticas habituales para dirigir, hacer capacitaciones, fortalecer los vínculos laborales como equipo, etc. Es un mundo diferente. Muchas veces pienso en que el cambio en la academia se hace desde adentro pero hay demasiadas trabas como para que la transformación suceda. "
"2022/09/03 6:04:56 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","45","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e independiente","Sí","1","Ninguna, no se presentó nadie.","Sí","Si, me preocupa mucho, no hay candidates. ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Cuales? "
"2022/09/03 6:44:01 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","45","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","1","1","Sí","Recibimos menos mensajes de interés por parte de estudiantes. Me resulta muy preocupante que cada vez menos personas elijan la carrera de la investigación. Considero que, en parte, es por la gran diferencia salarial entre el sector privado y el público.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","No sé a qué decisiones se refiere."
"2022/09/03 8:05:24 PM GMT-3","Probablemente sí","48","Soy varón cis","No corresponde ninguna de las opciones anteriores","caba","Soy investigador/a/e independiente","Sí","Entre 2 y 4 entrevistas","1","Sí","Ha cambiado el perfil de carreras de la gente que busca laboratorio. En general es más difícil conseguir gente comprometida que tenga un interés claro y definido.  Noto una tendencia creciente por parte de la gente a buscar laboratorio mirando perfiles de twitter o Instagram en lugar de explorar la producción y calidad de los trabajos científicos o la formación de RRHH del laboratorio.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Creo es algo fundamental para poder planificar el mediano y largo plazo de mi carrera profesional y la de la gente que depende de mi trabajo.  Es algo que debería organizarse más formalmente"
"2022/09/03 9:44:23 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","38","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e asistente o adjunto","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","Sí","Me preocupa. Creo que hay más competencia desde otros sectores. Lxs estudiantes prefieren no embarcarse en largos periodos doctorales, por ejemplo.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Siempre pareciera ser un futuro incierto, a pesar de que volvería a elegir el mismo camino. Es muy difícil predecir si habrá o no financiamiento y apoyo tanto a los proyectos como a estudiantes."
"2022/09/03 11:54:14 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","69","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Santiago de Chile","Soy investigador/a/e principal o superior","Sí","Entre 2 y 4 entrevistas","Entre 2 y 4","Sí","No me preocupa. Siempre llegan estudiantes, pero en Chile algunos llegan muy mal preparados (en parte obviamente por efecto pandemia)","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Cómo hacer lo mejor para que tengamos investigación competitiva y de alta calidad, lo que directamente favorece a nuestros estudiantes. Todo por un futuro mejor de ellos"
"2022/09/04 3:37:57 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","55","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy investigador/a/e independiente","Sí","Entre 2 y 4 entrevistas","1","No","Me cuesta mucho encontrar donde difundir mis busquedas. Hay menos estudiantes biologos o bioquimicos que me contactan o biotecnologos,  excepto estudiantes de Medicina (Facultad donde trabajo) a los que generalmente no les interesa dedicarse a la investigación. Vienen al labo algunos meses y luego siguen su vocacion en Medicina asistencial. Generalmente, no consegui en los ultimos años Estudiantes con antecedentes adecuados para obtener una beca doctoral. Si, me preocupa mucho. Creo que hay mucha competencia con otras posibilidades laborales (mas aplicadas) o con otros laboratorios que trabajan, por ejemplo, en cancer. ","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.","Ansiedad e incertidumbre, desmotivación. "
"2022/09/04 4:59:38 PM GMT-3","Probablemente sí","29","Soy varón cis","No corresponde ninguna de las opciones anteriores","Caba","Soy investigador/a/e asistente o adjunto","No","Ninguna","No publiqué ninguna búsqueda","No","Soy jefe de residentes de un hospital general. Desgraciadamente el título de especialista pasa por otro camino que el doctorado.","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Ansiedad. Miedo. Alegría. "
"2022/09/04 7:28:43 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","53","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Montevideo, Uruguay","Soy investigador/a/e asistente o adjunto","No","No publiqué ninguna búsqueda","No publiqué ninguna búsqueda","No","Sí me preocupa la búsqueda de estudiantes, pero no tengo actualmente proyectos financiados. De todas maneras, en el grupo en el que trabajo nos ha costado bastante conseguir estudiantes","","","","","","","","","","","","","","","","","","","","","","","","","Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","no entiendo la pregunta; si es respecto a conseguir estudiantes, me genera incertidumbre y preocupación; siento que los estudiantes que he co-dirigido, generalmente estudiantes de Medicina, no tienen suficiente tiempo o dedicación para asumir el compromiso que implica el trabajo de investigación. Los estudiantes de Ciencias tienen mayor compromiso..."
